Label,YYYY-MM,Total
"August, 2017",2017-08,0
"September, 2017",2017-09,0
"October, 2017",2017-10,0
"November, 2017",2017-11,0
"December, 2017",2017-12,0
"January, 2018",2018-01,0
"February, 2018",2018-02,0
"March, 2018",2018-03,0
"April, 2018",2018-04,33
"May, 2018",2018-05,180
"June, 2018",2018-06,153
"July, 2018",2018-07,376
"August, 2018",2018-08,519
"September, 2018",2018-09,597
"October, 2018",2018-10,663
"November, 2018",2018-11,720
"December, 2018",2018-12,1117
"January, 2019",2019-01,1741
"February, 2019",2019-02,1700
"March, 2019",2019-03,2667
"April, 2019",2019-04,2651
"May, 2019",2019-05,3013
"June, 2019",2019-06,4025
"July, 2019",2019-07,4185
"August, 2019",2019-08,4038
"September, 2019",2019-09,5039
"October, 2019",2019-10,5191
"November, 2019",2019-11,4800
"December, 2019",2019-12,3652
"January, 2020",2020-01,5488
"February, 2020",2020-02,5930
"March, 2020",2020-03,5220
"April, 2020",2020-04,5399
"May, 2020",2020-05,5633
"June, 2020",2020-06,4965
"July, 2020",2020-07,5398
"August, 2020",2020-08,2497
